,TimeStamp,Open,High,Low,Close,Volume,TurnOver
2020-07-01 00:00:00,1593561600,9130.5,9139.0,9084.5,9134.5,68453312.0,7508.214769
2020-07-01 04:00:00,1593576000,9134.5,9156.5,9122.5,9135.0,47581363.0,5204.116046
2020-07-01 08:00:00,1593590400,9135.0,9192.5,9132.5,9155.0,69733841.0,7613.182993
2020-07-01 12:00:00,1593604800,9155.0,9272.5,9136.5,9272.0,150883862.0,16373.926778
2020-07-01 16:00:00,1593619200,9272.0,9296.5,9229.5,9245.5,94863607.0,10234.026773
2020-07-01 20:00:00,1593633600,9245.5,9254.5,9210.5,9234.0,41498957.0,4493.639654
2020-07-02 00:00:00,1593648000,9234.0,9258.5,9224.5,9238.5,35530963.0,3844.796023
2020-07-02 04:00:00,1593662400,9238.5,9252.0,9168.5,9210.0,95775448.0,10399.61221
2020-07-02 08:00:00,1593676800,9210.0,9217.5,9173.0,9196.5,75631037.0,8221.87951
2020-07-02 12:00:00,1593691200,9196.5,9255.0,9020.0,9040.0,241661723.0,26474.185624
2020-07-02 16:00:00,1593705600,9040.0,9072.5,8932.5,9046.5,184986071.0,20503.856116
2020-07-02 20:00:00,1593720000,9046.5,9149.0,9034.5,9085.0,99550169.0,10941.275697
2020-07-03 00:00:00,1593734400,9085.0,9117.0,9064.0,9090.0,61417073.0,6753.76269
2020-07-03 04:00:00,1593748800,9090.0,9108.5,9071.5,9101.0,35552322.0,3910.013646
2020-07-03 08:00:00,1593763200,9101.0,9122.5,9038.0,9091.5,70993063.0,7819.548038
2020-07-03 12:00:00,1593777600,9091.5,9118.0,9076.5,9095.0,51396625.0,5649.528893
2020-07-03 16:00:00,1593792000,9095.0,9107.0,9063.0,9080.5,34181392.0,3763.749576
2020-07-03 20:00:00,1593806400,9080.5,9098.0,9039.5,9057.0,38939685.0,4293.289007
2020-07-04 00:00:00,1593820800,9057.0,9089.0,9041.5,9078.5,39179124.0,4321.244657
2020-07-04 04:00:00,1593835200,9078.5,9088.5,9072.5,9073.0,19103029.0,2103.995754
2020-07-04 08:00:00,1593849600,9073.0,9079.5,9053.5,9058.0,23256236.0,2565.106648
2020-07-04 12:00:00,1593864000,9058.0,9079.0,9043.0,9058.0,38543069.0,4252.651498
2020-07-04 16:00:00,1593878400,9058.0,9197.0,9057.5,9130.0,158138478.0,17291.866544
2020-07-04 20:00:00,1593892800,9130.0,9146.0,9116.0,9141.0,37004547.0,4054.200384
2020-07-05 00:00:00,1593907200,9141.0,9147.0,9120.5,9127.0,25314024.0,2772.121281
2020-07-05 04:00:00,1593921600,9127.0,9127.5,9031.0,9063.5,82444846.0,9085.035552
2020-07-05 08:00:00,1593936000,9063.5,9068.5,8984.0,9034.0,69055308.0,7648.95917
2020-07-05 12:00:00,1593950400,9034.0,9066.0,8997.0,9025.5,80863056.0,8952.976253
2020-07-05 16:00:00,1593964800,9025.5,9049.0,9019.5,9031.0,32076531.0,3549.905607
2020-07-05 20:00:00,1593979200,9031.0,9107.5,8903.5,9079.0,172361558.0,19115.944137
2020-07-06 00:00:00,1593993600,9079.0,9120.0,9064.0,9089.5,61898878.0,6806.637768
2020-07-06 04:00:00,1594008000,9089.5,9239.5,9084.5,9198.0,124834002.0,13614.063458
2020-07-06 08:00:00,1594022400,9198.0,9230.5,9170.0,9227.5,54667276.0,5943.527817
2020-07-06 12:00:00,1594036800,9227.5,9322.0,9201.0,9301.0,138181766.0,14920.020327
2020-07-06 16:00:00,1594051200,9301.0,9350.0,9267.5,9293.0,102257952.0,10982.306788
2020-07-06 20:00:00,1594065600,9293.0,9380.0,9257.5,9345.5,88688474.0,9524.347346
2020-07-07 00:00:00,1594080000,9345.5,9392.0,9265.0,9297.5,105437050.0,11320.195839
2020-07-07 04:00:00,1594094400,9297.5,9297.5,9237.5,9260.0,68872726.0,7434.163185
2020-07-07 08:00:00,1594108800,9260.0,9274.0,9222.0,9271.5,57703999.0,6239.957243
2020-07-07 12:00:00,1594123200,9271.5,9289.0,9238.0,9273.0,65215694.0,7041.58245
2020-07-07 16:00:00,1594137600,9273.0,9280.5,9231.0,9234.0,40319526.0,4355.273945
